Rating,Surname,Name,Country,Weight,Sex
353,Mimoune, Mohamed,FR,140,Male
354,Moloney, Andrew,AU,115,Male
355,Murata, Ryota,JP,160,Male
356,Nova, Abraham,US,126,Male
357,Noynay, Joe,PH,130,Male
358,Obbadi, Mohammed,IT,112,Male
359,Ornelas, Max,US,118,Male
360,Palicte, Aston,PH,115,Male
361,Parker, Zach,GB,168,Male
362,Payano, Juan Carlos,DO,118,Male
363,Pedraza, Jose,PR,140,Male
364,Petalcorin, Randy,PH,108,Male
365,Price, Hopey,GB,122,Male
366,Ramirez, Eduardo,MX,130,Male
367,Ramirez, Robeisy,CU,126,Male
368,Riakporhe, Richard,GB,200,Male
369,Richards, Craig,GB,175,Male
370,Richards, Lerrone,GB,168,Male
371,Rios, Ronny,US,122,Male
372,Roach Jr, Lamont,US,130,Male
373,Rodriguez, Julian,US,140,Male
374,Rosales, Cristofer,NI,112,Male
375,Russell, Gary Antonio,US,118,Male
376,Russell, Gary Antuanne,US,140,Male
377,Salamov, Umar,RU,175,Male
378,Saludar, Vic ,PH,105,Male
379,Salva, Samuel,PH,105,Male
380,Sandoval, Ricardo,US,112,Male
381,Shishkin, Vladimir,RU,168,Male
382,Simpson, Lorenzo,US,160,Male
383,Sor Rungvisai, Nawaphon,TH,118,Male
384,Sosa, Jason ,US,130,Male
385,Soto, Elwin,MX,108,Male
386,Stepien, Pawel,PL,175,Male
387,Sulecki, Maciej,PL,160,Male
388,Tabiti, Andrew,US,200,Male
389,Taconing, Jonathan,PH,108,Male
390,Taduran, Pedro,PH,105,Male
391,Tete, Zolani,ZA,118,Male
392,Thompson, Shakiel,GB,160,Male
393,Turarov, Zhankosh,KZ,140,Male
394,Valladares, Daniel,MX,108,Male
395,Vargas, Josue,US,140,Male
396,Vazquez, Miguel,MX,140,Male
397,Vega, Axel,MX,108,Male
398,Velasquez, Jose,CL,118,Male
399,Velazquez, Joselito,MX,112,Male
400,Vlasov, Maksim,RU,175,Male
401,Ward, Thomas Patrick,GB,122,Male
402,Warrington, Josh,GB,126,Male
403,Waseem, Muhammad ,PK,112,Male
404,Williams, Austin,US,160,Male
405,Williams, Liam,GB,160,Male
406,Williams, Tramaine,US,122,Male
