Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Commercial;Dove 1c-9  (0 Flock 1C-9 090B);USA
Commercial;Dove 2 (0505);USA
Commercial;Dove 2k-1 (0 Flock 2K-1 0F1A);USA
Commercial;Dove 2k-10 (0 Flock 2K-10 0F32);USA
Commercial;Dove 2k-11 (0 Flock 2K-11 0F33);USA
Commercial;Dove 2k-12 (0 Flock 2K-12 0F36);USA
Commercial;Dove 2k-13 (0 Flock 2K-13 0F37);USA
Commercial;Dove 2k-14 (0 Flock 2K-14 0F3B);USA
Commercial;Dove 2k-15 (0 Flock 2K-15 0F3C);USA
Commercial;Dove 2k-16 (0 Flock 2K-16 0F3D);USA
Commercial;Dove 2k-17 (0 Flock 2K-17 0F40);USA
Commercial;Dove 2k-18 (0 Flock 2K-18 0F44);USA
Commercial;Dove 2k-19 (0 Flock 2K-19 0F46);USA
Commercial;Dove 2k-2 (0 Flock 2K-2 0F1E);USA
Commercial;Dove 2k-20 (0 Flock 2K-20 0F47);USA
Commercial;Dove 2k-21 (0 Flock 2K-21 0F49);USA
Commercial;Dove 2k-22  (0 Flock  2K-22 0F4A);USA
Commercial;Dove 2k-23 (0 Flock 2K-23 0F4B);USA
Commercial;Dove 2k-24 (0 Flock 2K-24 0F4F);USA
Commercial;Dove 2k-25 (0 Flock 2K-25 0F4D);USA
Commercial;Dove 2k-26 (0 Flock 2K-26 0F53);USA
Commercial;Dove 2k-27 (0 Flock 2K-27 0F54);USA
Commercial;Dove 2k-28 (0 Flock 2K-28 1047);USA
Commercial;Dove 2k-29  (0 Flock 2K-29 1048);USA
Commercial;Dove 2k-3 (0 Flock 2K-3 0F21);USA
Commercial;Dove 2k-30 (0 Flock 2K-30 1049);USA
Commercial;Dove 2k-31 (0 Flock 2K-31 104A);USA
Commercial;Dove 2k-32 (0 Flock 2K-32  104B);USA
Commercial;Dove 2k-33 (0 Flock 2K-33 104C);USA
Commercial;Dove 2k-34 (0 Flock 2K-34 104D);USA
Commercial;Dove 2k-35 (0 Flock 2K-35 104E);USA
Commercial;Dove 2k-36 (0 Flock 2K-36 104F);USA
