Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Government;NuSTAR (Nuclear Spectroscopic Telescope Array);USA
Government/Civil;O/OREOS (Organism/Organic Exposure to Orbital Stresses, USA 219);USA
Commercial;O3b FM02;United Kingdom
Commercial;O3b FM03;United Kingdom
Commercial;O3b FM04;United Kingdom
Commercial;O3b FM05 (Other 3 Billion);United Kingdom
Commercial;O3b FM06;United Kingdom
Commercial;O3b FM07;United Kingdom
Commercial;O3b FM08;United Kingdom
Commercial;O3b FM09;United Kingdom
Commercial;O3b FM10;United Kingdom
Commercial;O3b FM11;United Kingdom
Commercial;O3b FM12;United Kingdom
Commercial;O3b FM13;United Kingdom
Commercial;O3b FM14;United Kingdom
Commercial;O3b FM15;United Kingdom
Commercial;O3b FM16;United Kingdom
Commercial;O3b FM17;United Kingdom
Commercial;O3b FM18;United Kingdom
Commercial;O3b FM19;United Kingdom
Commercial;O3b FM20;United Kingdom
Commercial;O3b PFM;United Kingdom
Government;OCO 2  (Orbiting Carbon Observatory);USA
Military;Oculus ASR;USA
Government;Odin ;Sweden
Military;Ofeq 10;Israel
Military;Ofeq 11;Israel
Military;Ofeq 5 ;Israel
Military;Ofeq 7;Israel
Military;Ofeq 9;Israel
Commercial;OneWeb-0006;United Kingdom
Commercial;OneWeb-0007;United Kingdom
Commercial;OneWeb-0008;United Kingdom
Commercial;OneWeb-0010;United Kingdom
Commercial;OneWeb-0011;United Kingdom
Commercial;OneWeb-0012;United Kingdom
Commercial;OneWeb-0013;United Kingdom
Commercial;OneWeb-0017;United Kingdom
Commercial;OneWeb-0018;United Kingdom
Commercial;OneWeb-0019;United Kingdom
Commercial;OneWeb-0020;United Kingdom
Commercial;OneWeb-0021;United Kingdom
Commercial;OneWeb-0022;United Kingdom
Commercial;OneWeb-0023;United Kingdom
Commercial;OneWeb-0024;United Kingdom
Commercial;OneWeb-0025;United Kingdom
Commercial;OneWeb-0026;United Kingdom
Commercial;OneWeb-0027;United Kingdom
Commercial;OneWeb-0028;United Kingdom
Commercial;OneWeb-0029;United Kingdom
Commercial;OneWeb-0031;United Kingdom
Commercial;OneWeb-0032;United Kingdom
Commercial;OneWeb-0033;United Kingdom
Commercial;OneWeb-0034;United Kingdom
Commercial;OneWeb-0035;United Kingdom
Commercial;OneWeb-0036;United Kingdom
Commercial;OneWeb-0037;United Kingdom
Commercial;OneWeb-0038;United Kingdom
Commercial;OneWeb-0039;United Kingdom
Commercial;OneWeb-0040;United Kingdom
Commercial;OneWeb-0041;United Kingdom
Commercial;OneWeb-0042;United Kingdom
Commercial;OneWeb-0043;United Kingdom
Commercial;OneWeb-0044;United Kingdom
Commercial;OneWeb-0045;United Kingdom
Commercial;OneWeb-0046;United Kingdom
Commercial;OneWeb-0047;United Kingdom
Commercial;OneWeb-0048;United Kingdom
Commercial;OneWeb-0049;United Kingdom
Commercial;OneWeb-0050;United Kingdom
Commercial;OneWeb-0051;United Kingdom
Commercial;OneWeb-0052;United Kingdom
Commercial;OneWeb-0053;United Kingdom
Commercial;OneWeb-0054;United Kingdom
Commercial;OneWeb-0055;United Kingdom
Commercial;OneWeb-0056;United Kingdom
Commercial;OneWeb-0057;United Kingdom
Commercial;OneWeb-0058;United Kingdom
Commercial;OneWeb-0059;United Kingdom
Commercial;OneWeb-0060;United Kingdom
Commercial;OneWeb-0061;United Kingdom
Commercial;OneWeb-0062;United Kingdom
Commercial;OneWeb-0063;United Kingdom
Commercial;OneWeb-0064;United Kingdom
Commercial;OneWeb-0065;United Kingdom
Commercial;OneWeb-0066;United Kingdom
Commercial;OneWeb-0067;United Kingdom
Commercial;OneWeb-0068;United Kingdom
Commercial;OneWeb-0069;United Kingdom
Commercial;OneWeb-0080;United Kingdom
Commercial;OneWeb-0081;United Kingdom
Commercial;OneWeb-0082;United Kingdom
Commercial;OneWeb-0083;United Kingdom
Commercial;OneWeb-0085;United Kingdom
Commercial;OneWeb-0086;United Kingdom
Commercial;OneWeb-0087;United Kingdom
Commercial;OneWeb-0088;United Kingdom
Commercial;OneWeb-0090;United Kingdom
Commercial;OneWeb-0092;United Kingdom
Commercial;OneWeb-0093;United Kingdom
Commercial;OneWeb-0094;United Kingdom
Commercial;OneWeb-0095;United Kingdom
Commercial;OneWeb-0096;United Kingdom
Commercial;OneWeb-0098;United Kingdom
Government;OPS-Sat;ESA
Government;OPTOS;Spain
Military;Optsat-3000;Italy
Commercial;Optus 10;Australia
Military/Commercial;Optus and Defence C1 ;Australia
Commercial;Optus D1 ;Australia
Commercial;Optus D2;Australia
Commercial;Optus D3;Australia
Commercial;ORBCOMM FM-10 (ORBCOMM A2);USA
Commercial;ORBCOMM FM-11 (ORBCOMM A3);USA
Commercial;ORBCOMM FM-12 (ORBCOMM A4);USA
Commercial;ORBCOMM FM-13 (ORBCOMM B1);USA
Commercial;ORBCOMM FM-14 (ORBCOMM B2);USA
Commercial;ORBCOMM FM-15 (ORBCOMM B3);USA
Commercial;ORBCOMM FM-18 (ORBCOMM B6);USA
Commercial;ORBCOMM FM-19 (ORBCOMM B7);USA
Commercial;ORBCOMM FM-20 (ORBCOMM B8);USA
Commercial;ORBCOMM FM-21 (ORBCOMM C1);USA
Commercial;ORBCOMM FM-23 (ORBCOMM C3);USA
Commercial;ORBCOMM FM-27 (ORBCOMM C7);USA
Commercial;ORBCOMM FM-30 (ORBCOMM D2);USA
Commercial;ORBCOMM FM-31 (ORBCOMM D3);USA
Commercial;ORBCOMM FM-32 (ORBCOMM D4);USA
Commercial;ORBCOMM FM-35 (ORBCOMM D7);USA
Commercial;ORBCOMM FM-36 (ORBCOMM D8);USA
Commercial;ORBCOMM FM-4 (ORBCOMM G2);USA
Commercial;ORBCOMM FM-5 (ORBCOMM A6);USA
Commercial;ORBCOMM FM-6 (ORBCOMM A7);USA
Commercial;ORBCOMM FM-7 (ORBCOMM A8);USA
Commercial;ORBCOMM FM-8 (ORBCOMM A1);USA
Commercial;ORBCOMM FM-9 (ORBCOMM A5);USA
Commercial;ORBCOMM OG2 FM-103;USA
Commercial;ORBCOMM OG2 FM-107;USA
Commercial;ORBCOMM OG2 FM-108;USA
Commercial;ORBCOMM OG2 FM-109;USA
Commercial;ORBCOMM OG2 FM-110;USA
Commercial;ORBCOMM OG2 FM-112;USA
Commercial;ORBCOMM OG2 FM-113;USA
Commercial;ORBCOMM OG2 FM-114;USA
Commercial;ORBCOMM OG2 FM-115;USA
Commercial;ORBCOMM OG2 FM-116;USA
Commercial;ORBCOMM OG2 FM-117;USA
Commercial;ORBCOMM OG2 FM-118;USA
Civil;Orbital Factory-2;USA
Military;Orbweaver-1;USA
Military;Orbweaver-2;USA
Military;ORCA (Optical RF Communications Adjunct);USA
Military;ORS-5 (Operationally Responsive Space-5, SensorSat);USA
Commercial;OTB-1 (Orbital Test Bed 1);USA
Commercial;OVS-2;China
Military;Painani-1;Mexico
Government/Commercial;Paksat-1R ;Pakistan
Government;PakTES-1a;Pakistan
Commercial;Palapa D1;Indonesia
Commercial;Palisade;USA
Military;PAN-1 (Nemesis, Palladium at Night, P360, USA 207);USA
Military;ParkinsonSat-2 (Navy-Oscar-104);USA
Military;Parus-95 (Cosmos 2407);Russia
Military;Parus-96 (Cosmos 2414);Russia
Military;Parus-99 (Cosmos 2463);Russia
Commercial;Pathfinder II (Sirion, Helios);USA
Military/Commercial;Paz;Spain
Government;PCSat (Prototype Communications SATellite, Navy-Oscar 44, NO-44);USA
Commercial;Pearl White 1;USA
Commercial;Pearl White 2;USA
Government;PEASSS (PiezoElectric Assisted Small Satellite);Netherlands
Commercial;Perseus M1;Russia/USA
Commercial;Perseus M2;Russia/USA
Military;Persona-2 (Cosmos 2486);Russia
Military;Persona-3 (Cosmos 2506);Russia
Government;PeruSat-1;Peru
Government;PISAT ;India
Government;Pléiades HR1A;France/Italy
Government;Pléiades HR1B;France
Military;Polar Scout A (Polar Scout 1, ORS-7, Yukon);USA
Military;Polar Scout B (Polar Scout 2, ORS-7, Kodiak);USA
Civil;PolyITAN-1;Ukraine
Government;PRISMA (PRecursore IperSpettrale della Missione Applicativa);Italy
Government;Proba 1 (Project for On-Board Autonomy);ESA
Government;Proba 2 (Project for On-Board Autonomy);ESA
Government;Proba 5 (Project for On-Board Autonomy);ESA
Military;Prometheus 2.1 ;USA
Military;Prometheus 2.3;USA
Military;Prometheus 2.6;USA
Military;Prometheus 2.7;USA
Military;Prometheus 2.9;USA
Military;PropCube-1 (PropCube Merryweather);USA
Military;PropCube-3 (PropCube Flora);USA
Civil;Prox-1 (Nanosat 7);USA
Commercial;Proxima-1;Australia
Commercial;Proxima-2;Australia
Government;PRSS-1 (Pakistan Remote Sensing Satellite-1);Pakistan
Government;Pujiang-1;China
Civil;PWSat-2;Poland
Civil;QARMAN (Qubesat for Aerothermodynamic Research and Measurements on AblatioN, QB50 BE05);Belgium
Commercial;Qiancheng-01;China
Commercial;QPS-SAR 1 (Izanagi);Japan
Civil;Qsat-EOS (KYUshu SATellite - Earth Observation System);Japan
Government;Quantum Science Satellite (QSS, Micius, Mozi);China
Commercial;QuetzSat-1;USA
Government;QZS-1 (Quazi-Zenith Satellite System, Michibiki-1);Japan
Government;QZS-2 (Quazi-Zenith Satellite System, Michibiki-2);Japan
Government;QZS-3 (Quazi-Zenith Satellite System, Michibiki-3);Japan
Government;QZS-4 (Quazi-Zenith Satellite System, Michibiki-4);Japan
Military;R3D2 (Radio Frequency Risk Reduction Deployment Demonstration);USA
Civil;Raavana-1;Sri Lanka
Commercial;Radarsat-2 ;Canada
Civil;RadFxSat;USA
Civil;Radio-ROSTO (RS-15, Radio Sputnik 15, Russian Defence, Sports and Technical Organization - ROSTO);Russia
Civil;Radsat-U (Radiation Satellite);USA
Military;Raduga 1-M2 (Raduga 1-9);Russia
Military;Raduga 1-M3 ;Russia
Government;RainCube (Radar In a Cubesat, RainSat);USA
Civil;RANGE-A (Ranging and Nanosatellite Guidance Experiment);USA
Civil;RANGE-B (Ranging and Nanosatellite Guidance Experiment);USA
Military;Rapid Pathfinder Program (NROL-66, USA 225);USA
Commercial;RapidEye-1 (RapidEye-C);Germany
Commercial;RapidEye-2 (RapidEye A);Germany
Commercial;RapidEye-3 (RapidEye D);Germany
Commercial;RapidEye-4 (RapidEye E);Germany
Commercial;RapidEye-5 (RapidEye B);Germany
Government;RAPIS-1 (RAPid Innovative payload demonstration Satellite 1);Japan
Government;RASAT;Turkey
Commercial;Rascom-QAF 1R;Multinational
Government;RAVAN (Radiometer Assessment using Vertically Aligned Nanotubes);USA
Government;RCM-1 (Radar Constellation Mission 1);Canada
Government;RCM-2 (Radar Constellation Mission 2);Canada
Government;RCM-3 (Radar Constellation Mission 3);Canada
Commercial;Reaktor Hello World;Finland
Military;Red-Eye (Pinot);USA
Government;Reimei (Innovative Technology Demonstration Experiment Satellite - INDEX);Japan
Government;Relek (ICA-FC1);Russia
Commercial;RemoveDebris (RemDeb);United Kingdom
Government;Resourcesat 2 (exactView-2);India/Canada
Government;Resourcesat-2A;India
Government/Commercial;Resurs-P1;Russia
Government/Commercial;Resurs-P2;Russia
Government/Commercial;Resurs-P3;Russia
Military;RISat-1 (Radar Imaging Satellite 1);India
Military;RISat-2 (Radar Imaging Satellite 2);India
Military;RISat-2B (Radar Imaging Satellite 2B);India
Military;RISat-2BR1 (Radar Imaging Satellite 2BR1);India
Civil;RISESAT (Rapid International Scientific Experiment Satellite);Japan
Civil;Rising-2;Japan
Civil;Robusta-1B (Radiation on Bipolar Test for University Satellite Application);France
Military;Rodnik (Cosmos 2416, Strela 3M);Russia
Military;Rodnik (Cosmos 2437, Strela 3M);Russia
Military;Rodnik (Cosmos 2438, Strela 3M);Russia
Military;Rodnik (Cosmos 2439, Strela 3M);Russia
Military;Rodnik (Cosmos 2451, Strela 3M);Russia
Military;Rodnik (Cosmos 2453, Strela 3M);Russia
Military;Rodnik (Cosmos 2467, Strela 3M);Russia
Military;Rodnik (Cosmos 2468, Strela 3M);Russia
Military;Rodnik (Cosmos 2481, Strela 3M);Russia
Military;Rodnik (Cosmos 2482, Strela 3M);Russia
Military;Rodnik (Cosmos 2483, Strela 3M);Russia
Military;Rodnik (Cosmos 2484, Strela 3M);Russia
Military;Rodnik (Cosmos 2488, Strela 3M);Russia
Military;Rodnik (Cosmos 2489, Strela 3M);Russia
Military;Rodnik (Cosmos 2490, Strela 3M);Russia
Military;Rodnik (Cosmos 2496, Strela 3M);Russia
Military;Rodnik (Cosmos 2497, Strela 3M);Russia
Military;Rodnik (Cosmos 2498, Strela 3M);Russia
Military;Rodnik (Cosmos 2507, Strela 3M);Russia
Military;Rodnik (Cosmos 2508, Strela 3M);Russia
Military;Rodnik (Cosmos 2509, Strela 3M);Russia
Military;Rodnik (Cosmos 2530, Strela 3M);Russia
Military;Rodnik (Cosmos 2531, Strela 3M);Russia
Military;Rodnik (Cosmos 2532, Strela 3M);Russia
Military;RS-47 (Cosmos 2499);Russia
Civil;RSat-P (Repair Satellite-Prototype);USA
Government;Rumba (part of Cluster quartet, Cluster 2 FM5);ESA
Government;Salsa (part of Cluster quartet, Cluster 2 FM6);ESA
Government;Samba (part of Cluster quartet, Cluster 2 FM7);ESA
Government;SAOCOM-1A (Satélite Argentino de Observación Con Microondas);Argentina
Military;Sapphire (Space Surveillance Mission of Canada);Canada
Government;SARAL (Satellite with ARGOS and ALTIKA);India/France
Military;SAR-Lupe 1;Germany
Military;SAR-Lupe 2;Germany
Military;SAR-Lupe 3;Germany
Military;SAR-Lupe 4;Germany
Military;SAR-Lupe 5;Germany
Commercial;Saudicomsat-1;Saudi Arabia
Commercial;Saudicomsat-2 ;Saudi Arabia
Commercial;Saudicomsat-3;Saudi Arabia
Commercial;Saudicomsat-4;Saudi Arabia
Commercial;Saudicomsat-5;Saudi Arabia
Commercial;Saudicomsat-6;Saudi Arabia
Commercial;Saudicomsat-7;Saudi Arabia
Government;Saudisat 1C (Oscar 50, SO 50);Saudi Arabia
Government;Saudisat-2 ;Saudi Arabia
Government;Saudisat-3 ;Saudi Arabia
Government;Saudisat-4;Saudi Arabia
Government;Saudisat-5A;Saudi Arabia
Government;Saudisat-5B;Saudi Arabia
Military;SBIRS GEO 1 (Space Based Infrared System Geosynchronous 1, USA 230);USA
Military;SBIRS GEO 2 (Space Based Infrared System Geosynchronous 2, USA 241);USA
Military;SBIRS GEO 3 (Space Based Infrared System Geosynchronous 3, USA 273);USA
Military;SBIRS GEO 4 (Space Based Infrared System Geosynchronous 4, USA 282);USA
Military;SBSS-1 (Space Based Space Surveillance Satellite, SBSS Block 10 SV1, USA 216);USA
Military;SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23, Intruder) ;USA
Military;SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23, Intruder) ;USA
Military;SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder);USA
Military;SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder);USA
Military;SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder);USA
Military;SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder);USA
Military;SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder);USA
Military;SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder);USA
Military;SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder);USA
Military;SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder);USA
Military;SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder);USA
Military;SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder);USA
Government;ScatSat-1;India
Government;SCD-1 (Satélite de Coleta de Dados);Brazil
Government;SCD-2 (Satélite de Coleta de Dados);Brazil
Government;Scisat-1 (Atmospheric Chemistry Experiment);Canada
Government;SDO (Solar Dynamics Observatory);USA
Military;SDS III-4 (Satellite Data System) (NRO L-1, USA 179, Quasar) ;USA
Military;SDS III-5 (Satellite Data System) (NRO L-24, USA 198, Quasar) ;USA
Military;SDS III-6 (Satellite Data System) NRO L-27, USA 227, Quasar);USA
Military;SDS III-7 (Satellite Data System) NRO L-38, USA 236, Quasar);USA
Military;SDS III-8 (Satellite Data System) NRO L-33, USA 252, Quasar);USA
Military;SDS IV-1 (Satellite Data System, NRO L-61, USA 269, Quasar);USA
Military;SDS IV-2 (Satellite Data System, NRO L-62, USA 279, Quasar);USA
Government;SDS-4 (Small Demonstration Satellite-4);Japan
Civil;Seahawk-1;USA
Civil;SEEDS 2;Japan
Military;SeeMe (Space Enabled Effects for Military Engagements satellite);USA
Government;Sentinel  3B;ESA
Government;Sentinel 1A;ESA
Government;Sentinel 1B;ESA
Government;Sentinel 2A;ESA
Government;Sentinel 2B;ESA
Government;Sentinel 3A;ESA
Government;Sentinel 5P (Sentinel 5 Precursor);ESA
Commercial;SES-1 (AMC-4R);Luxembourg
Commercial;SES-10;Luxembourg
Commercial;SES-11/EchoStar 105;Luxembourg
Commercial ;SES-12;Luxembourg
Commercial;SES-14;Luxembourg
Commercial;SES-15;Luxembourg
Commercial;SES-2;Luxembourg
Commercial;SES-3;Luxembourg
Commercial;SES-4;Luxembourg
Commercial;SES-5 (Sirius 5, Astra 4B);Luxembourg
Commercial;SES-6;Luxembourg
Commercial;SES-7 (Protostar 2, Indostar 2);Luxembourg
Commercial;SES-8;Luxembourg
Commercial;SES-9;Luxembourg
Commercial/Military;SGDC (Geostationary Satellite for Communications and Defense);Brazil
Civil;Shaonian Xing (Youth Star);China
Military;SHFT (Space-based High Frequency Testbed, Georgen);USA
Government;Shields 1;USA
Government;Shijian 11-01 (SJ-11-01);China
Government;Shijian 11-02 (SJ-11-02);China
Government;Shijian 11-03 (SJ-11-03);China
Government;Shijian 11-05 (SJ-11-05);China
Government;Shijian 11-06 (SJ-11-06);China
Government;Shijian 11-07 (SJ-11-07);China
Government;Shijian 11-08 (SJ-11-08);China
Government;Shijian 12 (SJ-12);China
Government;Shijian 13 (SJ-13);China
Government;Shijian 15 (SJ-15);China
Government;Shijian 16-01 (SJ-16);China
Government;Shijian 16-02;China
Government;Shijian 17;China
Government;Shijian 20;China
Government;Shijian 6A (SJ-6A, Dong Fang Hong 60);China
Government;Shijian 6B (SJ-6B);China
Government;Shijian 6C (SJ-6-02A);China
Government;Shijian 6D (SJ-6-02B);China
Government;Shijian 6E (SJ6-03A, SJ-6E);China
Government;Shijian 6F (SJ6-03B, SJ-6F);China
Government;Shijian 6G (SJ6-04A);China
Government;Shijian 6H (SJ6_04B);China
Government;Shijian 7 (SJ7, Dong Fang Hong 65);China
Government;Shijian 9A (SJ 9A);China
Government;Shijian 9B (SJ 9B);China
Government;Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1);China
Government;Shiyan 3 (SY3, Experimental Satellite 3);China
Government;Shiyan 4 (SY4, Experimental Satellite 4);China
Government;Shiyan 5 (SY5, Experimental Satellite 5);China
Government;Shiyan 6 (SY6, Experimental Satellite 6);China
Military;Shiyan 7 (SY7, Experimental Satellite 7);China
Military;Sicral 1A ;Italy
Military/Commercial;Sicral 1B;Italy
Military;Sicral 2/Syracuse 3C;France/Italy
Government;Sinah-1 (Sina 1, ZS1);Iran
Commercial;SINOD D-1;USA
Commercial;SINOD D-3;USA
Commercial;Sinosat-6 (Chinasat-6A, XN-6);China
Commercial;Sirius 1 (SD Radio 1);USA
Commercial;Sirius 2 (SD Radio 2);USA
Commercial;Sirius 3 (SD Radio 3);USA
Commercial;Sirius 4 (Astra 4A);Sweden
Commercial;Sirius FM-5;USA
Commercial;Sirius FM-6;USA
Commercial;Sirius XM-5;USA
Civil;SiriusSat-1;Russia
Civil;SiriusSat-2;Russia
Commercial;Sky Mexico-1;Mexico
Commercial;Sky Muster 1 (NBN-1A);Australia
Commercial;Sky Muster 2 (NBN-1B);Australia
Commercial;SkyBrasil-1 (Intelsat 32E);Brazil
Military;Skynet 4C ;United Kingdom
Military;Skynet 4E ;United Kingdom
Military;Skynet 5A;United Kingdom
Military;Skynet 5B;United Kingdom
Military;Skynet 5C;United Kingdom
Military;Skynet 5D;United Kingdom
Commercial;SkySat-1 (S1);USA
Commercial;SkySat-10 (SkySat C8, S108);USA
Commercial;SkySat-11 (SkySat C9, S109);USA
Commercial;SkySat-12 (SkySat C10, S110);USA
Commercial;SkySat-13 (SkySat C11, S111);USA
Commercial;SkySat-14 (SkySat C12, S112);USA
Commercial;SkySat-15 (SkySat C13, S113);USA
Commercial;SkySat-2 (B, S2);USA
Commercial;SkySat-3 (SkySat Gen 2-1, Skysat C1, S3);USA
Commercial;SkySat-4 (SkySat C4, S104);USA
Commercial;SkySat-5 (SkySat C5, S105);USA
Commercial;SkySat-6 (SkySat C2, S4);USA
Commercial;SkySat-7 (SkySat C3, S103);USA
Commercial;SkySat-8 (SkySat C6, S106);USA
Commercial;SkySat-9 (SkySat C7, S107);USA
Commercial;SkyTerra 1;USA
Military;SLDCOM-3 (Satellite Launch Dispenser Communications System) (USA 119);USA
Government;SMAP (Soil Moisture Active Passive Satellite);USA
Military;SMDC-ONE 1.1 (Techsat);USA
Military;SMDC-ONE 1.2 (ORSES [Operationally Responsive Space Enabler Satellite]);USA
Military;SMDC-ONE 2.3;USA
Military;SMDC-ONE 2.4;USA
Civil;SMOG-P (SMOG-1, BME-1, Magyar-OSCAR 105, MO-105);Hungary
Government;SMOS (Soil Moisture and Ocean Salinity satellite);ESA
Military;SNaP-3 Alice;USA
Military;SNaP-3 Eddie;USA
Military;SNaP-3 Jimi;USA
Military;SNaP-3-1  (Space and Missile Defense Command NanoSat Program);USA
Civil;S-Net-1;Germany
Civil;S-Net-2;Germany
Civil;S-Net-3;Germany
Civil;S-Net-4;Germany
Civil;SNUGLITE;South Korea
Civil;SNUSat-2;South Korea
Commercial;SOCRATES  (Space Optical Communications Research Advanced TEchnology Satellite);Japan
Civil;SOHLA 1 (Space Oriented Higashiosaka Leading Association, Maido 1);Japan
Civil;SOKRAT;Russia
Civil;SONATE (SOlutus NAno satteliTE);Germany
Government/Civil;SORCE (SOlar Radiation and Climate Experiment);USA
Government;South Asia Satellite (GSAT 9);India
Commercial;SpaceBEE-1;USA
Commercial;SpaceBEE-2;USA
Commercial;SpaceBEE-3;USA
Commercial;SpaceBEE-4;USA
Commercial;SpaceBEE-5;USA
Commercial;SpaceBEE-6;USA
Commercial;SpaceBEE-7;USA
Commercial;SpaceBEE-8;USA
Commercial;SpaceBEE-9;USA
Commercial;Spaceway 3;USA
Commercial;Spaceway F2;USA
Military;Spainsat;Spain
Military;SPARC-1 (Space Plug and Play Architecture Research CubeSat-1);USA/Sweden
Government;Spark-1;China
Government;Spark-2;China
Civil;SPATIUM-I;Japan/Singapore
Government;Spektr-R/RadioAstron;Multinational
Military;SPIRALE-A (Système Préparatoire Infra-Rouge pour l'Alerte);France
Military;SPIRALE-B (Système Préparatoire Infra-Rouge pour l'Alerte);France
Civil;SpooQy-1;Singapore
Commercial;Spot 6 (Système Probatoire d’Observation de la Terre);France/Belgium/Sweden
Commercial;Spot 7 (Système Probatoire d’Observation de la Terre);France/Belgium/Sweden
Civil;SPROUT  (SPace Research On Unique Technology);Japan
Civil;SRMSat (Sri Ramaswamy Memorial Satellite);India
Government;SRSS-1 (Sudan Remote Sensing Satellite 1);Sudan
Government/Military;SSOT (Sistema Satelital para la Observación de la Tierra);Chile
Commercial;SSTL-S1-4 ;United Kingdom
Commercial;ST-2 (Singapore-Taiwan 2);Singapore/Taiwan
Commercial;Star One C1;Brazil
Commercial;Star One C2;Brazil
Commercial;Star One C3;Brazil
Commercial;Star One C4;Brazil
Commercial;Star One D1;Brazil
Commercial;Starlilnk-1240;USA
Commercial;StarLink Demo 1 (Microsat-2a, Tintin-A);USA
Commercial;StarLink Demo 2 (Microsat-2b Tintin-B);USA
Commercial;Starlink-1007;USA
Commercial;Starlink-1008;USA
Commercial;Starlink-1009;USA
Commercial;Starlink-1010;USA
Commercial;Starlink-1011;USA
Commercial;Starlink-1012;USA
Commercial;Starlink-1013;USA
Commercial;Starlink-1014;USA
Commercial;Starlink-1015;USA
Commercial;Starlink-1016;USA
Commercial;Starlink-1017;USA
Commercial;Starlink-1019;USA
Commercial;Starlink-1020;USA
Commercial;Starlink-1021;USA
Commercial;Starlink-1022;USA
Commercial;Starlink-1023;USA
Commercial;Starlink-1024;USA
Commercial;Starlink-1025;USA
Commercial;Starlink-1026;USA
Commercial;Starlink-1027;USA
Commercial;Starlink-1028;USA
Commercial;Starlink-1029;USA
Commercial;Starlink-1030;USA
Commercial;Starlink-1031;USA
Commercial;Starlink-1032;USA
Commercial;Starlink-1033;USA
Commercial;Starlink-1034;USA
Commercial;Starlink-1035;USA
Commercial;Starlink-1036;USA
Commercial;Starlink-1037;USA
Commercial;Starlink-1038;USA
Commercial;Starlink-1039;USA
Commercial;Starlink-1040;USA
Commercial;Starlink-1041;USA
Commercial;Starlink-1042;USA
Commercial;Starlink-1043;USA
Commercial;Starlink-1044;USA
Commercial;Starlink-1045;USA
Commercial;Starlink-1046;USA
Commercial;Starlink-1047;USA
Commercial;Starlink-1048;USA
Commercial;Starlink-1049;USA
Commercial;Starlink-1050;USA
Commercial;Starlink-1051;USA
Commercial;Starlink-1052;USA
Commercial;Starlink-1053;USA
Commercial;Starlink-1054;USA
Commercial;Starlink-1055;USA
Commercial;Starlink-1056;USA
Commercial;Starlink-1057;USA
Commercial;Starlink-1058;USA
Commercial;Starlink-1059;USA
Commercial;Starlink-1060;USA
Commercial;Starlink-1061;USA
Commercial;Starlink-1062;USA
Commercial;Starlink-1063;USA
Commercial;Starlink-1064;USA
Commercial;Starlink-1065;USA
Commercial;Starlink-1066;USA
Commercial;Starlink-1067;USA
Commercial;Starlink-1068;USA
Commercial;Starlink-1069;USA
Commercial;Starlink-1070;USA
Commercial;Starlink-1071;USA
Commercial;Starlink-1072;USA
Commercial;Starlink-1073;USA
Commercial;Starlink-1074;USA
Commercial;Starlink-1075;USA
Commercial;Starlink-1076;USA
Commercial;Starlink-1077;USA
Commercial;Starlink-1078;USA
Commercial;Starlink-1079;USA
Commercial;Starlink-1080;USA
Commercial;Starlink-1081;USA
Commercial;Starlink-1082;USA
Commercial;Starlink-1083;USA
Commercial;Starlink-1084;USA
Commercial;Starlink-1085;USA
Commercial;Starlink-1086;USA
Commercial;Starlink-1087;USA
Commercial;Starlink-1088;USA
Commercial;Starlink-1089;USA
Commercial;Starlink-1091;USA
Commercial;Starlink-1092;USA
Commercial;Starlink-1093;USA
Commercial;Starlink-1094;USA
Commercial;Starlink-1095;USA
Commercial;Starlink-1096;USA
Commercial;Starlink-1097;USA
Commercial;Starlink-1098;USA
Commercial;Starlink-1099;USA
Commercial;Starlink-1100;USA
Commercial;Starlink-1101;USA
Commercial;Starlink-1102;USA
Commercial;Starlink-1103;USA
Commercial;Starlink-1104;USA
Commercial;Starlink-1105;USA
Commercial;Starlink-1106;USA
Commercial;Starlink-1107;USA
Commercial;Starlink-1108;USA
Commercial;Starlink-1109;USA
Commercial;Starlink-1110;USA
Commercial;Starlink-1111;USA
Commercial;Starlink-1112;USA
Commercial;Starlink-1113;USA
Commercial;Starlink-1114;USA
Commercial;Starlink-1115;USA
Commercial;Starlink-1116;USA
Commercial;Starlink-1117;USA
Commercial;Starlink-1118;USA
Commercial;Starlink-1119;USA
Commercial;Starlink-1120;USA
